"Token", "ShortName", "Series", "CompanyName", "ticksize", "Lotsize", "DateOfListing", "DateOfDeListing", "IssuePrice", "FaceValue", "ISINCode", "52WeeksHigh", "52WeeksLow", "LifeTimeHigh", "LifeTimeLow", "HighDate", "LowDate", "Symbol", "InstrumentType", "PermittedToTrade", "IssueCapital", "WarningPercent", "FreezePercent", "CreditRating", "IssueRate", "IssueStartDate", "InterestPaymentDate", "IssueMaturityDate", "BoardLotQty", "Name", "ListingDate", "ExpulsionDate", "ReAdmissionDate", "RecordDate", "ExpiryDate", "NoDeliveryStartDate", "NoDeliveryEndDate", "MFill", "AON", "ParticipantInMarketIndex", "BookClsStartDate", "BookClsEndDate", "EGM", "AGM", "Interest", "Bonus", "Rights", "Dividends", "LocalUpdateDateTime", "DeleteFlag", "Remarks", "NormalMarketStatus", "OddLotMarketStatus", "SpotMarketStatus", "AuctionMarketStatus", "NormalMarketEligibility", "OddLotlMarketEligibility", "SpotMarketEligibility", "AuctionlMarketEligibility", "MarginPercentage", "ExchangeCode"
"643","SUULIF","BE","SUUMAYA INDUSTRIES LIMITED",0.01,1,"","",0,10,"INE591Q01016",11,5.34,368.43,5.34,"","","",0,0,0,6.67,6.04,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SUULD"
"6435","BHAPP1","E1","BHARTI AIRTEL EQ PP RS 1.25",0.01,1,"","",0,0,"IN9397D01014",0,0,1176.7,259,"","","",0,0,0,1133.25,927.25,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","AIRTELPP"
"6441","KOTIN","SM","KOTYARK INDUSTRIES LIMITED",0.01,1,"","",0,10,"INE0J0B01017",0,0,1582,43.5,"","","",0,0,0,1113.1,742.1,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","KOTYARK"
"6446","ICICON","EQ","ICICI PRUD CONSUMPTION ETF",0.01,1,"","",0,10,"INF109KC1V42",117.12,82.53,117.12,57.01,"","","",0,0,0,137.67,91.78,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","CONSUMIETF"
"6448","TECEEC","BE","TECHNO ELECTRIC AND ENGINEERIN",0.01,1,"","",0,2,"INE285K01026",1599,366.45,1599,171.05,"","","",0,0,0,1570.7,1421.15,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","TECHNOE"
"6451","SHUJEW","SM","SHUBHLAXMI JEWEL ART LIMITED",0.01,1,"","",0,10,"INE01Z401013",0,0,209.5,11.2,"","","",0,0,0,35.8,32.4,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SHUBHLAXMI"
"6462","ADINIT","EQ","ADITYA BIRLA SUN NIFTY IT ETF",0.01,1,"","",0,10,"INF209KB11D8",40.44,26.63,43.75,26.01,"","","",0,0,0,47.19,31.46,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","TECH"
"6468","TULEXT","BE","TULSI EXTRUSIONS LIMITED",0.01,1,"","",0,10,"INE474I01012",3.8,0.75,135.36,0.45,"","","",0,0,0,0.52,0.47,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","TULSI"
"6477","TYK22A","GS","364 DAY T-BILL 2 NOV 22",0.01,1,"","",0,100,"IN002021Z327",0,0,0,0,"","","",0,0,0,0,0,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","364D021122"
"6501","IRIBUS","BE","IRIS BUSINESS SERVICES LTD",0.01,1,"","",0,10,"INE864K01010",265.5,75.35,265.5,65.65,"","","",0,0,0,254.37,230.14,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","IRIS"
"6504","ORIINF","EQ","ORIENT INFORMATION TECHNO",0.01,1,"","",0,10,"INE067B01019",22.85,2.85,714,2.85,"","","",0,0,0,4.6,3.05,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","ORIENTINFO"
"6506","PATRE1","BE","PATEL INTEGRATED RIGHTS ENTITL",0.01,1,"","",0,10,"INE529D20022",4.3,2.15,4.3,2.15,"","","",0,0,0,3.75,1.65,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","PATINT-RE1"
"6518","SGBT56","GB","2.50% SOV. GOLD BOND 2 NOV 29",0.01,1,"","",0,4761,"IN0020210178",0,0,7599.99,4551,"","","",0,0,0,8367.22,6845.91,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SGBNV29VII"
"652","CHAIN","EQ","CHAMPDANY INDUSTRIES LTD",0.01,1,"","",0,10,"INE487A01011",155,58.6,329,14.25,"","","",0,0,0,64.75,58.6,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","CHAMPDANY"
"6520","VIKRE1","BE","VIKAS LIFECARE RIGHTS ENTITLE",0.01,1,"","",0,10,"INE161L20027",1.8,0.65,1.5,0.4,"","","",0,0,0,0.7,0.3,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","VLIFE-RE1"
"6531","NATHIG","IV","NATIONAL HIGHWAYS INFRA TRUST",0.01,1,"","",0,101,"INE0H7R23014",0,0,132.36,101.25,"","","",0,0,0,153,102,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","NHIT"
"6532","KORFOD","BE","KORE FOODS LIMITED",0.01,1,"","",0,10,"INE601A01017",5.25,3,77,2.85,"","","",0,0,0,4.1,2.75,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","PHILCORP"
"6545","FSNECO","EQ","FSN ECOMMERCE VENTURES NYKAA",0.01,1,"","",0,1,"INE388Y01029",195.5,130.1,428.95,114.25,"","","",0,0,0,212.35,141.56,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","NYKAA"
"6549","GRPLTD","BE","GRP LIMITED",0.01,1,"","",0,10,"INE137I01015",16744,3375,16744,462.5,"","","",0,0,0,14695.55,13296.05,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","GRPLTD"
"6568","LAXCOT","EQ","LAXMI COTSPIN LIMITED",0.01,1,"","",0,10,"INE801V01019",38.8,18.5,38.8,5.8,"","","",0,0,0,38.14,25.43,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","LAXMICOT"
"6575","PREAUT","BE","PAE LIMITED",0.01,1,"","",0,10,"INE766A01018",12.7,4.65,73.33,0.75,"","","",0,0,0,7.75,6.35,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","PAEL"
"6578","TYK22B","GS","364 DAY T-BILL 10 NOV 22",0.01,1,"","",0,100,"IN002021Z335",0,0,0,0,"","","",0,0,0,0,0,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","364D101122"
"6579","FINPA","EQ","FINO PAYMENTS BANK LIMITED",0.01,1,"","",0,10,"INE02NC01014",384,249.4,582.95,180.2,"","","",0,0,0,367,244.7,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","FINOPB"
"6592","NIDLAB","SM","NIDAN LABORATORIES AND HEALTH",0.01,1,"","",0,10,"INE0J6L01013",0,0,123.9,27,"","","",0,0,0,42.75,28.55,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","NIDAN"
"6596","SONSOF","EQ","SONATA SOFTWARE LIMITED",0.01,1,"","",0,1,"INE269A01021",870,469.6,870,2.16,"","","",0,0,0,759.9,506.6,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SONATSOFTW"
"6600","GENPAP","EQ","GENUS PAPER & BOARDS LIMITED",0.01,1,"","",0,1,"INE949P01018",28.5,14.8,28.5,1.65,"","","",0,0,0,25.56,17.04,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","GENUSPAPER"
"6606","DSPEQU","EQ","DSP NIFTY 50 EQUAL WEIGHT ETF",0.01,1,"","",0,10,"INF740KA1QK2",315.97,227.51,315.97,158.9,"","","",0,0,0,377.46,251.64,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","EQUAL50ADD"
"6628","NXTRE1","BE","NXTDIGITAL LTD RIGHTS ENTITLEM",0.01,1,"","",0,0,"INE353A20015",112.25,31.9,112.25,31.9,"","","",0,0,0,44.85,19.25,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","NXTDIG-RE"
"6643","SJSENT","EQ","S.J.S. ENTERPRISES LIMITED",0.01,1,"","",0,10,"INE284S01014",865,552.05,865,339.5,"","","",0,0,0,968.2,645.5,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SJS"
